Location: shot_2
Time: 2017-11-05 10:54:29
Sampling Rate (ms): 2.0
Sample Number: 1000
Stack Count: 3

Chan:	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24
Data:	-32767	 -244	 -566	   90	   58	   34	  -65	 -189	 -261	  133	 -345	   89	  -38	 -118	 -123	  819	 -324	  314	 -476	 -663	 -367	 -154	 -474	  501
Data:	-32767	-1518	 -820	   38	   54	   25	  -61	 -190	 -231	  142	 -334	  105	  -21	 -131	 -134	  816	 -313	  305	 -486	 -641	 -483	 -151	 -461	  497
Data:	-32767	-2675	-1052	  -10	   49	   17	  -54	 -177	 -208	  136	 -351	   95	  -38	 -116	 -128	  826	 -313	  314	 -457	 -673	 -507	 -199	 -489	  474
Data:	-28358	-3674	-1210	  -60	   41	   13	  -38	 -163	 -231	  151	 -340	  112	  -57	 -107	 -128	  826	 -295	  304	 -470	 -671	 -539	 -195	 -504	  416
Data:	-8878	-4508	-1274	  -93	   32	    7	  -34	 -152	 -255	  168	 -334	  136	  -81	  -95	 -137	  820	 -294	  309	 -460	 -678	 -532	 -245	 -567	  389
Data:	10986	-5177	-1218	 -116	   22	   14	  -43	 -159	 -250	  194	 -340	  141	  -67	  -83	 -130	  823	 -270	  321	 -473	 -701	 -631	 -274	 -550	  418
Data:	29440	-5686	-1030	 -125	    7	   16	  -50	 -138	 -240	  200	 -342	  155	  -61	 -102	 -142	  819	 -249	  352	 -476	 -721	 -568	 -331	 -572	  389
Data:	32767	-6039	 -724	 -113	   -8	   20	  -55	 -132	 -223	  193	 -334	  152	  -65	 -113	 -122	  830	 -222	  354	 -484	 -670	 -566	 -296	 -560	  385
Data:	32767	-6190	 -349	  -90	  -22	   22	  -70	 -135	 -236	  199	 -311	  136	  -54	 -104	 -119	  830	 -195	  359	 -497	 -678	 -650	 -335	 -531	  324
Data:	32767	-6033	   23	  -56	  -35	   20	  -80	 -148	 -243	  202	 -300	  141	  -87	  -91	 -122	  827	 -202	  354	 -486	 -696	 -622	 -311	 -639	  364
Data:	32767	-5444	  300	   -2	  -34	   14	  -85	 -171	 -225	  217	 -297	  162	  -33	  -93	 -124	  828	 -173	  354	 -484	 -657	 -650	 -317	 -575	  362
Data:	32767	-4381	  431	   46	  -30	   10	  -96	 -179	 -232	  200	 -304	  147	  -27	  -91	 -124	  828	 -188	  359	 -484	 -633	 -684	 -306	 -632	  354
Data:	32767	-2906	  439	  103	  -19	   -7	 -112	 -205	 -263	  168	 -288	  136	  -50	  -91	 -130	  822	 -175	  354	 -473	 -631	 -636	 -313	 -631	  371
Data:	32767	-1163	  449	  162	  -10	  -20	 -111	 -210	 -305	  153	 -288	  113	  -65	  -80	 -127	  824	 -189	  370	 -470	 -638	 -592	 -287	 -602	  439
Data:	20715	  635	  564	  206	    7	  -23	 -105	 -217	 -351	  153	 -309	  122	  -67	  -89	 -127	  822	 -204	  395	 -468	 -660	 -580	 -288	 -611	  411
Data:	 5871	 2248	  834	  237	   25	  -34	 -108	 -224	 -394	  140	 -322	  121	  -36	  -92	 -127	  824	 -218	  377	 -465	 -656	 -477	 -310	 -597	  417
Data:	-8747	 3526	 1233	  248	   40	  -40	 -101	 -236	 -426	  125	 -351	  110	  -68	 -103	 -130	  831	 -220	  375	 -468	 -677	 -498	 -287	 -574	  488
Data:	-21973	 4484	 1656	  255	   59	  -40	 -104	 -224	 -481	  137	 -358	   94	 -100	 -103	 -123	  828	 -240	  368	 -470	 -639	 -529	 -259	 -524	  458
Data:	-32767	 5297	 1968	  246	   68	  -31	 -101	 -222	 -495	  131	 -372	   82	 -116	  -98	 -116	  838	 -236	  354	 -470	 -629	 -438	 -174	 -521	  446
Data:	-32767	 6140	 2070	  222	   72	  -20	 -104	 -228	 -499	  127	 -369	   77	 -157	  -99	 -116	  835	 -224	  354	 -478	 -637	 -486	  -79	 -521	  452
Data:	-32767	 7058	 1965	  176	   70	  -11	 -108	 -229	 -479	  122	 -390	   58	 -154	 -115	 -124	  826	 -240	  366	 -470	 -613	 -493	  -83	 -489	  454
Data:	-32767	 7881	 1725	  109	   53	    7	 -109	 -226	 -442	  119	 -379	   40	 -166	 -113	 -126	  828	 -236	  347	 -470	 -632	 -499	  -74	 -420	  424
Data:	-32767	 8343	 1469	   20	   36	   29	 -101	 -225	 -430	  110	 -378	   28	 -159	 -120	 -122	  830	 -258	  339	 -476	 -641	 -527	 -142	 -410	  459
Data:	-32767	 8173	 1225	  -96	   19	   38	  -96	 -226	 -414	  111	 -360	   28	 -153	 -131	 -131	  826	 -265	  347	 -465	 -627	 -507	 -140	 -415	  505
Data:	-24126	 7251	  972	 -249	    0	   48	  -94	 -232	 -379	  130	 -345	   65	 -165	 -134	 -123	  834	 -261	  347	 -451	 -616	 -508	 -127	 -397	  555
Data:	-13993	 5630	  641	 -411	  -18	   53	  -88	 -217	 -351	  139	 -347	   78	 -157	 -122	 -120	  827	 -247	  348	 -470	 -681	 -517	  -90	 -428	  627
Data:	-4198	 3566	  190	 -566	  -29	   52	  -70	 -212	 -313	  125	 -325	   79	 -138	 -135	 -123	  827	 -254	  338	 -478	 -661	 -491	 -160	 -436	  593
